Smiles,Adduct,CCS,Predicted_CCS,m/z,Cluster
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CC=CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+Na]+,313.5,309.6195,863.6982255,6
C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CCCCCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+H]+,248.74,253.12418,595.4571165,6
C(OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,[M+NH4]+,318.0,318.0144,876.7206908,6
C(OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+NH4]+,297.58,300.0183,772.6580905,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCCCC,[M+Na]+,283.24,286.28586,778.5726906,6
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CC=CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,293.98,292.90973,782.6509687,6
[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCCCCCCCCCCCC)=O)(=O)O,[M-H]-,221.9,218.48813,511.3036198,6
NCCOP(OC[C@]([H])(O)COC(CC=CCC=CCC=CCC=CCC=CCCCCCCCC)=O)(=O)O,[M+H]+,227.84,230.95071,556.3402896,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+HCOO]-,286.4,289.58264,776.623675,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O,[M-H]-,270.97,272.23517,760.5128843,6
O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)O[C@H]1OC[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O,[M+NH4]+,303.2,304.026,936.581022,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC,[M+Na]+,285.4,279.1433,750.5413905,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCC/C=C\CCCCCCCC)=O,[M+H]+,232.92,233.0354,522.3559396,6
[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,[M+H]+,277.58,275.8026,762.5073549,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,[M+CH3COO]-,291.6,286.97522,842.5908052,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,[M+H]+,299.1,299.3478,848.6169053,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CC=CCC=CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+Na]+,299.9,296.0598,805.6199751,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COCCCCCCCCCCCCCCCCCCCC,[M-H]-,267.93,269.59998,742.5750906,6
[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,261.3,260.31625,566.5511951,6
C(CCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,[M-H]-,192.7,192.03448,385.3106806,6
C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O,[M+NH4]+,296.47,297.73572,748.6580905,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O,[M+H]+,274.9,277.3433,742.538655,6
C(OC(=O)CCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCC)=O,[M+NH4]+,331.05,327.84793,874.7989411,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCC/C=C\CCCCCC)=O,[M+H]+,291.63,287.96875,806.5699551,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O,[M+Na]+,287.3,285.6618,810.505005,6
OC[C@]([H])(OC(CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCCCCCC)=O,[M+NH4]+,283.86,288.9265,730.6475259,6
CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O,[M+Na]+,256.4,262.06052,588.5331951,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,[M+H]+,284.07,281.5617,778.538655,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(=O)O,[M+H]+,291.2,281.9666,808.5128342,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,[M+H]+,287.52,286.2525,804.5543051,6
C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O,[M+NH4]+,312.79,314.9278,818.7363409,6
C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O,[M+Na]+,319.26,317.47232,879.7417909,6
[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCCCCCCCC)=O,[M+Na]+,299.0,298.13483,887.5625794,6
C[N+](C)(C)CCOP(OC[C@]([H])(OC(CC=CCC=CCC=CCC=CCCCCCCCCCC)=O)COC(CC=CCC=CCC=CCC=CCCCCCCCCCC)=O)(=O)O,[M+CH3COO]-,307.08,307.86234,973.676332,6
OC[C@]([H])(OCCCCCCCCC1CC2C3CCC=CC3C2CC1)COC(=O)CCCCCCCC(C)CCCCC(C)C,[M+NH4]+,269.94,269.2585,616.5430608,6
[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O,[M+Na]+,297.3,291.9006,838.5363051,6
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)(=O)O,[M-H]-,283.88,283.69287,843.5176353,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCC/C=C\CCCCCCCC)=O,[M+H]+,305.36,304.93607,866.6638555,6
C(OC(=O)CCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O,[M+NH4]+,338.57,336.1406,904.8458913,6
C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCCCCCCCCCC)CO,[M+H]+,214.52,212.39297,454.2933394,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,[M+HCOO]-,298.03,297.4819,855.6182553,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCC)=O,[M+Na]+,289.4,286.39035,780.5519551,6
C(O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)O1)[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,[M+NH4]+,298.4,296.13086,862.5653719,6
CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O,[M-H]-,248.6654874,247.41675,564.5355951,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,286.91,288.44647,731.606675,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCCCCCC)=O,[M+Na]+,307.54,308.85834,890.6615056,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,[M+Na]+,282.21,283.88794,780.5519551,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,[M+H]+,288.5,290.54694,786.6012553,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O,[M-H]-,266.81,267.7397,734.4972342,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+Na]+,278.77,282.61456,725.5573749,6
C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCC)=O,[M+Na]+,319.33,320.1672,893.757441,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O,[M+Na]+,286.2,282.05936,778.5363051,6
OCC(O)COP(OC[C@]([H])(O)COC(CC=CCC=CCC=CCC=CCC=CCCCCCC)=O)(=O)O,[M-H]-,222.4,221.9827,557.2879697,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CO/C=C\CCCCCCCCCCCCCCCC,[M+H]+,280.2,277.637,750.5437404,6
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O)(=O)O,[M+Na]+,269.8,272.27277,741.4682851,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,[M+H]+,276.5,276.4348,706.538655,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O)(=O)O,[M+H]+,289.49,287.6412,814.5597844,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCC)=O,[M+H]+,276.13,274.39478,704.523005,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O,[M-H]-,259.05,253.02754,684.4604548,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(=O)O,[M+Na]+,302.0,295.25684,880.5104843,6
C(OC(=O)CCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O,[M+Na]+,320.83,319.6651,883.773091,6
C(OP(OCC[N+](C)(C)C)(=O)[O-])[C@]([H])(O)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,[M+Na]+,235.41,234.73169,566.3222896,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CC=CCC=CCC=CCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,297.81,298.90775,809.6536252,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O,[M+H]+,273.7,277.3433,742.538655,6
[C@]([H])(O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,[M-H]-,228.74,231.1184,595.2883636,6
C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CCCCCCCCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+Na]+,268.21,261.66718,659.4860667,6
[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,261.6,260.31625,566.5511951,6
C(OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+NH4]+,295.78,294.6964,746.6424405,6
CCCCC1CC1CCCCCCCC(=O)O[C@H](CO)CO[P]([O-])(=O)OCC[NH3+],[M-H]-,199.81,200.01808,436.2464392,6
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+Na]+,294.3,297.8506,806.6486188,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCCCCCCCCCCCC,[M+CH3COO]-,240.1,239.11421,568.3975251,6
O([C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)C[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,[M+NH4]+,281.01,286.8152,778.5594987,6
NCCOP(OC[C@]([H])(OC(CC=CCC=CCC=CCC=CCC=CCC=CCCCC)=O)COC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)(=O)O,[M-H]-,283.1,283.13217,860.523055,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCCCC,[M-H]-,276.99,277.23642,782.6063907,6
C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCC=CCCCCCCCCCC)=O)COC(CC=CCC=CCCCCCCCCCC)=O,[M+Cl]-,303.2,301.64642,948.034022,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CC=CCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,298.91,300.3692,799.6692753,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCC/C=C\CCCC)=O,[M-H]-,252.8,255.01381,686.4761048,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C/C/C=C/C/C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,[M+HCOO]-,294.22,292.93842,829.6026052,6
C(OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,[M+NH4]+,317.23,318.0144,876.7206908,6
C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O,[M+NH4]+,318.03,319.43588,844.7519909,6
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CC=CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,300.9,298.8639,810.6822689,6
C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CC=CCC=CCC=CCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+Na]+,257.91,261.83984,681.4704166,6
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,[M+H]+,199.82,200.49866,403.233168,6
CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,[M-H]-,268.723096,269.88562,892.211874,6
OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O,[M+NH4]+,261.63,266.40683,644.5379754,6
C(OC(=O)CCCCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+Na]+,319.25,318.09912,881.757441,6
C(O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)O1)[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O,[M+NH4]+,302.2,299.55746,888.581022,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCCCCCCCC)=O)(=O)O,[M-H]-,289.4,278.26086,788.5441844,6
CCCCCCCCCCCCCC(=O)OC[C@@H](O)CO[P]([O-])(=O)OCC[NH3+],[M+Na]+,212.49,209.51945,448.2440393,6
C(O)[C@]([H])(OC(CC=CCC=CCC=CCCCCCCCCCCCCCC)=O)COC(CC=CCC=CCC=CCC=CCCCCCCCCCCC)=O,[M+NH4]+,306.75,296.47165,778.6475259,6
